City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Puerto Ayora,EC,79.11,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Bambous Virieux,MU,83.21,clear sky,-20.3428,57.7575,Casa Tia Villa
82,Vao,NC,76.5,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
88,Tamandare,BR,83.97,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
90,Ravar,IR,78.15,clear sky,31.2656,56.8055,computertik
91,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
95,Colares,PT,70.32,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
102,Butaritari,KI,79.56,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
103,Keti Bandar,PK,81.7,clear sky,24.1447,67.4497,Haji laloo memon house
106,Nampula,MZ,81.39,light rain,-15.1165,39.2666,Ruby Backpackers
109,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Grand Gaube,MU,83.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
114,Gwadar,PK,80.89,clear sky,25.1216,62.3254,Sadaf Resort
120,Dhidhdhoo,MV,82.69,clear sky,6.8833,73.1,Dhidhoo beach
121,Huarmey,PE,72.73,overcast clouds,-10.0681,-78.1522,Hotel Miramar
124,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
127,Amahai,ID,78.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
128,Cockburn Town,TC,78.33,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
133,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
138,Oriximina,BR,82.29,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
140,Hualmay,PE,71.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
145,Faanui,PF,82.11,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Sinnamary,GF,81.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
154,Kanye,BW,75.74,overcast clouds,-24.9667,25.3327,The Savanna Lodge
157,De Aar,ZA,76.39,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
159,Castro,BR,72.23,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
160,Vanimo,PG,79.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
161,Sola,VU,82.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
164,Davila,PH,81.07,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
171,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
177,Kieta,PG,75.69,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
178,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
182,Caraballeda,VE,84.87,few clouds,10.6112,-66.8522,Hotel 15 Letras
186,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
187,Gold Coast,AU,72.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
189,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
191,Campoverde,PE,80.29,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
192,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
195,Ambikapur,IN,79.16,few clouds,23.1167,83.2,Hotel Birendra Prabha
208,Moranbah,AU,71.42,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
212,Matara,LK,79.29,few clouds,5.9485,80.5353,Amaloh Boutique Resort
217,Tautira,PF,80.55,light rain,-17.7333,-149.15,Pension Oaoa
218,Coahuayana,MX,70.05,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
219,Mormugao,IN,81.43,few clouds,15.4,73.8,Coconut Creek Resort
221,Nauta,PE,74.16,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
224,Parana,AR,70.56,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
228,Roccastrada,IT,70.09,overcast clouds,43.0099,11.1665,La Melosa Resort & Spa
229,Colon,PA,78.87,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
