City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Arraial Do Cabo,BR,2022-03-26 14:05:24,-22.9661,-42.0278,89.46,62,0,10.36,clear sky
147,Halol,IN,2022-03-26 14:02:26,22.5,73.4667,94.24,15,2,8.19,clear sky
148,Sinnamary,GF,2022-03-26 14:05:25,5.3833,-52.95,81.03,75,99,14.23,overcast clouds
149,Kodiak,US,2022-03-26 14:01:24,57.79,-152.4072,33.82,89,76,0.87,broken clouds
150,Sernur,RU,2022-03-26 14:02:24,56.9333,49.1536,33.28,97,100,21.61,overcast clouds
151,Hamilton,US,2022-03-26 14:05:26,39.1834,-84.5333,37.24,79,100,21.85,overcast clouds
152,Beipiao,CN,2022-03-26 14:05:26,41.7919,120.7792,43.32,23,100,16.78,overcast clouds
153,Khatanga,RU,2022-03-26 14:05:27,71.9667,102.5,-9.11,99,28,6.73,scattered clouds
154,Kanye,BW,2022-03-26 14:05:28,-24.9667,25.3327,75.74,42,94,4.05,overcast clouds
155,Fortuna,US,2022-03-26 14:05:28,40.5982,-124.1573,43.14,100,0,8.05,clear sky
156,Praia Da Vitoria,PT,2022-03-26 14:05:29,38.7333,-27.0667,58.75,96,100,18.97,overcast clouds
157,De Aar,ZA,2022-03-26 14:03:28,-30.6497,24.0123,76.39,22,3,11.34,clear sky
158,Udachnyy,RU,2022-03-26 14:04:25,66.4167,112.4,5.41,98,79,4.29,broken clouds
159,Castro,BR,2022-03-26 14:01:22,-24.7911,-50.0119,72.23,79,99,8.66,overcast clouds
160,Vanimo,PG,2022-03-26 14:05:30,-2.6741,141.3028,79.05,84,99,6.26,overcast clouds
161,Sola,VU,2022-03-26 14:05:30,-13.8833,167.55,82.29,73,100,8.79,overcast clouds
162,Aktash,RU,2022-03-26 14:05:30,50.3,87.7333,3.52,84,65,4.56,broken clouds
163,Ancud,CL,2022-03-26 14:05:31,-41.8697,-73.8203,54.23,91,100,8.55,light rain
164,Davila,PH,2022-03-26 14:05:31,18.4726,120.5763,81.07,81,5,7.23,clear sky
165,Middleton,GB,2022-03-26 14:01:33,53.55,-2.2,68.36,53,18,7.0,few clouds
166,Ixtapa,MX,2022-03-26 14:05:32,20.7,-105.2,60.03,88,0,0.0,clear sky
167,Bud,US,2022-03-26 14:05:32,39.447,-86.1758,35.74,75,100,18.25,overcast clouds
168,Ciudad Bolivar,VE,2022-03-26 14:05:33,8.1222,-63.5497,85.77,51,74,12.93,broken clouds
169,East London,ZA,2022-03-26 14:05:33,-33.0153,27.9116,66.45,88,100,10.78,light rain
170,Barrow,US,2022-03-26 14:05:34,71.2906,-156.7887,-3.98,77,0,19.57,haze
171,Hermanus,ZA,2022-03-26 14:05:34,-34.4187,19.2345,75.79,56,4,18.52,clear sky
172,Yinchuan,CN,2022-03-26 14:05:35,38.4681,106.2731,43.7,10,100,10.18,overcast clouds
173,Pangnirtung,CA,2022-03-26 14:05:35,66.1451,-65.7125,23.13,83,100,5.68,overcast clouds
174,Provideniya,RU,2022-03-26 14:05:35,64.3833,-173.3,13.28,96,100,4.27,light snow
175,Ryotsu,JP,2022-03-26 14:05:36,38.0833,138.4333,55.2,95,100,16.49,overcast clouds
176,Alice Springs,AU,2022-03-26 14:03:45,-23.7,133.8833,69.22,32,4,4.61,clear sky
177,Kieta,PG,2022-03-26 14:05:36,-6.2167,155.6333,75.69,94,100,1.07,moderate rain
178,Geraldton,AU,2022-03-26 14:05:37,-28.7667,114.6,75.61,88,40,4.61,scattered clouds
179,Batagay,RU,2022-03-26 14:05:37,67.6333,134.6333,-9.98,100,89,4.18,overcast clouds
180,Qaanaaq,GL,2022-03-26 14:05:38,77.484,-69.3632,-1.62,84,98,4.65,overcast clouds
181,Los Llanos De Aridane,ES,2022-03-26 14:05:38,28.6585,-17.9182,62.35,74,75,19.57,broken clouds
182,Caraballeda,VE,2022-03-26 14:06:09,10.6112,-66.8522,84.87,80,20,3.44,few clouds
183,Ulladulla,AU,2022-03-26 14:06:09,-35.35,150.4667,63.5,91,44,4.16,light rain
184,Cabo San Lucas,MX,2022-03-26 14:04:44,22.8909,-109.9124,67.51,65,100,1.32,overcast clouds
185,Shimoda,JP,2022-03-26 14:06:11,34.6667,138.95,61.11,96,100,33.08,overcast clouds
186,Buin,CL,2022-03-26 14:06:11,-33.7333,-70.75,71.87,39,0,4.74,clear sky
187,Gold Coast,AU,2022-03-26 14:06:12,-28.0,153.4333,72.0,90,75,8.05,broken clouds
188,Deputatskiy,RU,2022-03-26 14:06:13,69.3,139.9,-14.01,99,74,7.31,broken clouds
189,Avarua,CK,2022-03-26 14:06:14,-21.2078,-159.775,77.05,94,75,10.36,broken clouds
190,Leningradskiy,RU,2022-03-26 14:06:14,69.3833,178.4167,-7.29,88,57,4.45,broken clouds
191,Campoverde,PE,2022-03-26 14:06:15,-8.4753,-74.8058,80.29,71,100,3.06,overcast clouds
192,Vaini,TO,2022-03-26 14:06:15,-21.2,-175.2,73.56,88,40,4.61,scattered clouds
193,Ust-Kuyga,RU,2022-03-26 14:06:16,70.0167,135.6,-15.38,100,97,3.53,overcast clouds
194,Yagodnoye,RU,2022-03-26 14:06:16,62.55,149.6667,-7.96,98,89,3.42,overcast clouds
195,Ambikapur,IN,2022-03-26 14:06:17,23.1167,83.2,79.16,15,13,5.39,few clouds
196,Komsomolets,KZ,2022-03-26 14:06:17,53.7453,62.0708,7.95,97,95,5.93,overcast clouds
197,Muravlenko,RU,2022-03-26 14:06:18,63.7898,74.523,12.83,92,88,12.95,overcast clouds
198,Buenos Aires,AR,2022-03-26 14:04:16,-34.6132,-58.3772,67.95,81,100,1.99,overcast clouds
199,Tarko-Sale,RU,2022-03-26 14:06:18,64.9225,77.785,5.11,84,29,15.7,scattered clouds
200,Khudumelapye,BW,2022-03-26 14:06:23,-23.8833,24.75,75.25,53,92,2.59,overcast clouds
201,Airai,TL,2022-03-26 14:06:24,-8.9266,125.4092,60.6,94,62,1.34,broken clouds
202,Lavrentiya,RU,2022-03-26 14:06:25,65.5833,-171.0,-2.76,100,93,4.72,overcast clouds
203,Ananas,HT,2022-03-26 14:06:27,19.2466,-71.9557,79.02,56,20,3.44,few clouds
204,Mehamn,NO,2022-03-26 14:06:29,71.0357,27.8492,23.81,65,100,28.61,light snow
205,Tessalit,ML,2022-03-26 14:02:13,20.1986,1.0114,99.07,8,87,18.99,overcast clouds
206,Kuzino,RU,2022-03-26 14:06:30,57.0224,59.4412,27.32,82,100,8.61,overcast clouds
207,Yaan,NG,2022-03-26 14:06:31,7.3833,8.5667,104.95,9,75,4.9,broken clouds
208,Moranbah,AU,2022-03-26 14:06:31,-22.0016,148.0466,71.42,85,41,9.93,scattered clouds
209,Bilma,NE,2022-03-26 14:06:31,18.6853,12.9164,88.34,7,94,10.94,overcast clouds
210,Lompoc,US,2022-03-26 14:06:32,34.6391,-120.4579,49.62,96,100,5.75,fog
211,Sur,OM,2022-03-26 14:04:12,22.5667,59.5289,86.25,34,2,3.33,clear sky
212,Matara,LK,2022-03-26 14:06:32,5.9485,80.5353,79.29,79,16,4.27,few clouds
213,Sattahip,TH,2022-03-26 14:06:33,12.6664,100.9007,88.99,83,20,6.91,few clouds
214,Ribeira Grande,PT,2022-03-26 14:06:33,38.5167,-28.7,57.6,88,75,17.27,mist
215,Marabba,SD,2022-03-26 14:06:34,12.35,32.1833,94.08,7,16,17.31,few clouds
216,Huilong,CN,2022-03-26 14:06:34,31.8111,121.655,55.92,61,100,7.74,overcast clouds
217,Tautira,PF,2022-03-26 14:06:35,-17.7333,-149.15,80.55,75,74,12.68,light rain
218,Coahuayana,MX,2022-03-26 14:06:35,18.7333,-103.6833,70.05,35,77,2.44,broken clouds
219,Mormugao,IN,2022-03-26 14:06:35,15.4,73.8,81.43,78,19,10.04,few clouds
220,Rongcheng,CN,2022-03-26 14:06:36,30.634,117.8517,54.93,83,100,1.83,overcast clouds
221,Nauta,PE,2022-03-26 14:06:36,-4.5061,-73.5757,74.16,96,100,1.48,overcast clouds
222,Beringovskiy,RU,2022-03-26 14:06:37,63.05,179.3167,-0.24,99,86,2.68,overcast clouds
223,Buta,CD,2022-03-26 14:07:07,2.7858,24.73,102.87,14,99,4.56,overcast clouds
224,Parana,AR,2022-03-26 14:07:09,-31.732,-60.5238,70.56,76,4,8.37,clear sky
225,Chumikan,RU,2022-03-26 14:07:10,54.7183,135.315,10.47,97,100,3.22,overcast clouds
226,Antofagasta,CL,2022-03-26 14:07:11,-23.65,-70.4,65.48,59,3,6.04,clear sky
227,San Vicente,AR,2022-03-26 14:07:11,-26.6167,-54.1333,69.4,49,0,4.52,clear sky
228,Roccastrada,IT,2022-03-26 14:07:12,43.0099,11.1665,70.09,35,99,6.17,overcast clouds
229,Colon,PA,2022-03-26 14:06:25,9.3592,-79.9014,78.87,82,100,12.28,overcast clouds
230,Verkhnyaya Inta,RU,2022-03-26 14:07:14,65.9811,60.3094,9.12,93,37,5.5,scattered clouds
231,Port-Gentil,GA,2022-03-26 14:07:15,-0.7193,8.7815,82.33,80,100,12.19,light rain
232,Bezenchuk,RU,2022-03-26 14:07:16,52.982,49.4333,33.04,92,100,13.53,overcast clouds
233,Esso,RU,2022-03-26 14:07:16,55.9333,158.7,1.09,98,76,5.37,broken clouds
234,Hobyo,SO,2022-03-26 14:06:17,5.3505,48.5268,83.43,56,2,17.45,clear sky
235,Praia,CV,2022-03-26 14:04:00,14.9215,-23.5087,77.54,53,75,21.85,broken clouds
236,Luderitz,NA,2022-03-26 14:07:17,-26.6481,15.1594,70.47,61,0,13.35,clear sky
237,Kruisfontein,ZA,2022-03-26 14:07:19,-34.0033,24.7314,65.88,66,93,12.82,overcast clouds
238,Samfya,ZM,2022-03-26 14:07:20,-11.3649,29.5565,78.96,62,98,2.24,overcast clouds
239,San Quintin,MX,2022-03-26 14:06:43,30.4833,-115.95,59.02,88,100,4.76,overcast clouds
240,Nome,US,2022-03-26 14:07:20,64.5011,-165.4064,10.47,92,100,3.44,fog
241,Sao Joao Da Barra,BR,2022-03-26 14:07:21,-21.6403,-41.0511,89.69,72,99,9.57,overcast clouds
242,Kaitangata,NZ,2022-03-26 14:07:21,-46.2817,169.8464,50.13,96,48,2.89,scattered clouds
243,Quesnel,CA,2022-03-26 14:07:22,52.9999,-122.5029,30.69,90,100,1.34,overcast clouds
244,Ust-Maya,RU,2022-03-26 14:07:22,60.4167,134.5333,-1.79,100,80,2.06,broken clouds
245,Tiksi,RU,2022-03-26 14:07:26,71.6872,128.8694,-12.77,100,100,2.82,overcast clouds
246,Indiaroba,BR,2022-03-26 14:07:27,-11.5192,-37.5117,88.16,52,11,6.76,few clouds
247,Santa Cruz Cabralia,BR,2022-03-26 14:07:28,-16.2781,-39.0247,84.43,70,40,11.5,scattered clouds
248,Dudinka,RU,2022-03-26 14:07:29,69.4058,86.1778,21.09,73,100,16.4,overcast clouds
249,Charlestown,AU,2022-03-26 14:02:33,-32.95,151.6667,69.73,94,63,5.01,broken clouds
250,Narsaq,GL,2022-03-26 14:07:30,60.9167,-46.05,28.62,51,3,1.95,clear sky
251,Dayong,CN,2022-03-26 14:07:30,25.0209,118.2898,69.37,96,93,6.42,overcast clouds
252,Opuwo,NA,2022-03-26 14:07:31,-18.0607,13.84,87.24,18,9,8.81,clear sky
253,Port Hedland,AU,2022-03-26 14:07:31,-20.3167,118.5667,86.05,79,22,13.8,few clouds
254,Bowen,AU,2022-03-26 14:07:33,-20.0167,148.2333,79.36,70,100,10.31,overcast clouds
255,Bonthe,SL,2022-03-26 14:07:34,7.5264,-12.505,89.44,60,64,13.78,broken clouds
256,Kavieng,PG,2022-03-26 14:07:34,-2.5744,150.7967,82.08,75,99,9.06,overcast clouds
257,Yangambi,CD,2022-03-26 14:07:34,0.8102,24.4336,97.18,27,50,3.27,scattered clouds
258,Rio Gallegos,AR,2022-03-26 14:06:38,-51.6226,-69.2181,58.71,49,100,13.67,overcast clouds
259,Saint Anthony,US,2022-03-26 14:07:35,45.0205,-93.218,22.14,52,0,23.02,clear sky
260,Xiaoshan,CN,2022-03-26 14:07:35,30.1675,120.2588,58.86,51,40,6.71,scattered clouds
